,handle,time
0,Antoniuk,1347816600
1,halyavin,1325696400
2,Rafiki53,1397383200
3,satyaki3794,1411927500
4,zhangzj,1432319400
5,ICouldHaveLied,1446316200
6,cpphamza,1270143900
7,TheConfessor,1435171200
8,NourElRashidy,1409068800
9,MathCrusader,1444648200
10,abcdef6199,1446316200
11,TONYTRAN,1407519000
12,Misha100896,1352052000
13,Mopriestt,1338139800
14,I_love_Varechka,1412524800
15,Guliash,1366047300
16,maximumSHOT,1416597600
17,lunawyll,1416247500
18,AlvinMax,1416247500
19,kesakiyo,1409068800
20,ATofighi,1416597600
21,RemmargorP,1415725200
22,6eJIa9IzZzTeHb,1359739800
23,Finalist,1417626000
24,toomas,1419960600
25,manoprenko,1401471000
26,stuno,1401471000
27,hoangduong,1381426200
28,Edw1N_,1421593200
29,I.Smirn0ff,1416597600
30,nmakarov,1445770800
31,Marcil,1411061400
32,Jakube,1444648200
33,zuz,1416597600
34,EKGMA,1407519000
35,sidhant,1413481200
36,shtorm941,1352655000
37,J_X,1426617900
38,ksjuchi,1285347600
39,lixintong,1416742800
40,omar.fmc,1418841000
41,mahbubcseju,1408555800
42,tafit3,1403199000
43,Nicola95,1415725200
44,gourmet,1439231400
45,_XuMuk_,1422716400
46,please_delete_account,1411752600
47,Dark_Alex,1381426200
48,FreeHugs,1428863400
49,vinitgandhi007,1441910400
50,ezkatka,1419445800
51,mredigonda,1424198100
52,szilard,1412618400
53,rafael859,1410111000
54,felix,1366652400
55,bertho_coder,1403199000
56,adarshpugalia,1443438000
57,bukefala,1421593200
58,bev,1403199000
59,loskutov,1418495400
60,anzu,1426953600
61,volverine,1415725200
62,NedoL,1424198100
63,about_30_ninjas,1419960600
64,Baby_Steps,1400693400
65,Ringod,1384110000
66,hiThere23,1439490600
67,Arturgo,1416597600
68,alex_bucevschi,1406914200
69,Snezhok,1413481200
70,_Ramtin_,1428174300
71,jianzhi,1440268200
72,Neverauskas,1302886800
73,hirokazu1020,1354815000
74,Dixtosa,1359394200
75,mrthefakeperson,1447612500
76,ktesar,1320340200
77,ipaljak,1320865200
78,luckytoilet,1427394600
79,cip999,1447612500
80,yungchienliu,1439231400
81,ajinkya1p3,1427394600
82,Tifuera,1368975600
83,mkisic,1404659100
84,sanketM,1435421400
85,cjoa,1288454400
86,kunalkukreja,1410543000
87,bixind,1410543000
88,Zorua,1447612500
89,chm517,1361727000
90,Nada,1412618400
91,drd93,1443897900
92,Muh,1374334200
93,ltjmao,1426617900
94,alapshin,1314640800
95,shivamkakkar,1432060200
96,Kuzey,1435421400
97,Smoge,1422716400
98,aka.Sohieb,1425287100
99,maha1192,1343065200
100,innok96,1417626000
101,operasfantom,1438799400
102,Harry.Guo2012,1408123800
103,vsokolov,1395509400
104,Sfogmoon,1447612500
